Country,Ticker,ID,year,blpi_tot_q,blpi_level,blpi_tot_miss,blpi_miss_pct,pf_tot_q,pf_level,pf_tot_miss,pf_miss_pct,rs_tot_q,rs_level,rs_tot_miss,rs_miss_pct,os_tot_q,os_level,os_tot_miss,os_miss_pct,idea_tot_q,idea_level,idea_tot_miss,blpi_pct,pf_pct,rs_pct,os_pct,idea_miss_pct,idea_pct,CoC,idea_pct_diff,CoC_diff,wb_region,wb_income,un_region_name,un_sub_region_name,un_intermediate _region_name,un_dev_devping,,,
Andorra,AND,78,1996,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,0.00,3.00,0.00,0.00,0.00,0.00,0.09,0.00,1.3595,,,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,1997,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,0.00,3.00,0.00,0.00,0.00,0.00,0.09,0.00,,0.0000,,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,1998,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,0.00,3.00,0.00,0.00,0.00,0.00,0.09,0.00,1.3801,0.0000,0.0206,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,1999,16.00,0.00,0.00,0.00,5.00,0.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,0.00,3.00,0.00,0.00,0.00,0.00,0.09,0.00,,0.0000,,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2000,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.3849,0.2414,0.0047,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2001,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,,0.0000,,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2002,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.2993,0.0000,-0.0855,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2003,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.3165,0.0000,0.0172,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2004,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.1018,0.0000,-0.2147,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
Andorra,AND,78,2005,16.00,6.00,0.00,0.00,5.00,1.00,1.00,0.17,4.00,0.00,1.00,0.20,7.00,0.00,1.00,0.13,29.00,7.00,3.00,0.38,0.20,0.00,0.00,0.09,0.24,1.2722,0.0000,0.1704,Europe & Central Asia,High income,Europe,Southern Europe,Southern Europe,Developed,,,
