"","iso3c","year","country.IDEA","Ticker","ID","blpi_tot_q","blpi_level","blpi_tot_miss","blpi_miss_pct","pf_tot_q","pf_level","pf_tot_miss","pf_miss_pct","rs_tot_q","rs_level","rs_tot_miss","rs_miss_pct","os_tot_q","os_level","os_tot_miss","os_miss_pct","idea_tot_q","idea_level","idea_tot_miss","blpi_pct","pf_pct","rs_pct","os_pct","idea_miss_pct","idea_pct","CoC","idea_pct_diff","CoC_diff","wb_region","wb_income","un_region_name","un_sub_region_name","un_intermediate._region_name","un_dev_devping","iso2c","country.wb","gini","lifeexpectancy","GDP","natres","ruralpop","tertiaryschool","region","capital","longitude","latitude","income","lending","country.fotp","FOTP","cname","fh_status","fh_fotpc","dr_sg","dr_eg","hf_trade","sgi_ecgf","fi_index","fi_index_cl","hf_business","hf_efiscore","hf_financ","hf_fiscal","country","wefji"
"1","AGO",2006,"Angola","AGO",28,16,0,0,0,5,2,1,0.17,5,1,0,0,8,1,0,0,31,4,1,0,0.4,0.2,0.13,0.03,0.13,-1.1833,0,"0.1452","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,49.0070487804878,41789478661.3096,54.1731369575929,63.058,2.69178009033203,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",65,"Angola",3,21,18.4496841430664,70.879524230957,68,NA,4.43,NA,26.8,43.5,50,84.9,"Angola",NA
"2","AGO",2007,"Angola","AGO",28,16,0,0,0,5,2,1,0.17,5,1,0,0,8,1,0,0,31,4,1,0,0.4,0.2,0.13,0.03,0.13,-1.2939,0,"-0.1106","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,49.4357317073171,60448921272.2326,51.31256943464,62.278,NA,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",62,"Angola",3,21,19.5123119354248,71.2641906738281,73,NA,4.58,NA,35.3,44.7,40,85,"Angola",NA
"3","AGO",2008,"Angola","AGO",28,16,0,0,0,5,2,1,0.17,5,1,0,0,8,1,0,0,31,4,1,0,0.4,0.2,0.13,0.03,0.13,-1.2814,0,"0.0125","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",42.72,49.8473902439024,84178032716.0971,58.0577324790351,61.491,NA,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",63,"Angola",3,21,20.1118488311768,65.8431777954102,73,NA,4.43,NA,36.7,46.9,40,85.2,"Angola",NA
"4","AGO",2009,"Angola","AGO",28,16,0,0,0,5,2,1,0.17,5,1,0,0,8,1,0,0,31,4,1,0,0.4,0.2,0.13,0.03,0.13,-1.4184,0,"-0.1369","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,50.2510243902439,75492384801.3695,28.1491802718246,60.701,NA,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",61,"Angola",3,21,20.4776992797852,61.3422813415527,72,NA,5.19,NA,43.6,47,40,85.2,"Angola",NA
"5","AGO",2010,"Angola","AGO",28,16,0,0,0,5,2,1,0.17,5,1,0,0,8,1,0,0,31,4,1,0,0.4,0.2,0.13,0.03,0.13,-1.3194,0,"0.0990","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,50.6541707317073,82470913120.7314,39.0426506502845,59.903,NA,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",62,"Angola",3,21,21.2469596862793,64.4319229125977,70.4,NA,5.26,NA,43.4,48.4,40,85.1,"Angola",2.953741
"6","AGO",2011,"Angola","AGO",28,16,5,0,0,5,3,1,0.17,5,2,0,0,8,6,0,0,31,16,1,0.31,0.6,0.4,0.75,0.03,0.52,-1.3373,0.3871,"-0.0179","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,51.0593170731707,104115923082.737,44.5215633644071,59.1,6.94609022140503,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",64,"Angola",3,21,21.7090511322021,63.9722061157227,70.2,NA,5.13,NA,41.4,46.2,40,84.5,"Angola",2.4179383
"7","AGO",2012,"Angola","AGO",28,16,5,0,0,5,3,1,0.17,5,2,0,0,8,6,0,0,31,16,1,0.31,0.6,0.4,0.75,0.03,0.52,-1.2928,0,"0.0445","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,51.464,115398371427.673,41.5662080345289,58.301,NA,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",67,"Angola",3,21,22.5278587341309,59.8332176208496,65.2,NA,5.32,NA,45.5,46.7,40,84.1,"Angola",NA
"8","AGO",2013,"Angola","AGO",28,16,5,0,0,5,3,1,0.17,5,2,0,0,8,6,0,0,31,16,1,0.31,0.6,0.4,0.75,0.03,0.52,-1.3274,0,"-0.0346","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,51.8661707317073,124912063308.202,34.9084257988237,57.51,9.92356967926025,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",68,"Angola",3,21,22.4895839691162,55.593334197998,70.2,NA,5.21,NA,43.1,47.3,40,82.6,"Angola",2.441176
"9","AGO",2014,"Angola","AGO",28,16,5,0,0,5,3,1,0.17,5,2,0,0,8,6,0,0,31,16,1,0.31,0.6,0.4,0.75,0.03,0.52,-1.4526,0,"-0.1252","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,52.2668780487805,126776874216.703,27.544483381863,56.726,NA,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",69,"Angola",3,21,NA,NA,70.1,NA,5.08,NA,47.5,47.7,40,87.7,"Angola",2.10587749819926
"10","AGO",2015,"Angola","AGO",28,16,5,0,0,5,3,1,0.17,5,2,0,0,8,6,0,0,31,16,1,0.31,0.6,0.4,0.75,0.03,0.52,-1.3969,0,"0.0557","Sub-Saharan Africa","Upper middle income","Africa","Sub-Saharan Africa","Middle Africa","Developing","AO","Angola",NA,NA,102626929544.805,11.2659692571671,55.95,NA,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA","Angola",70,"Angola",3,21,NA,NA,70.2,NA,NA,NA,47.4,47.9,40,84.5,"Angola",NA
