country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ARGENTINA,0.74,0.04,0.05,1.39,1.19,1.25,1.32,1.23,1.22,1.19,0.97,0.84,0.65,0.75,1.36,1.85,2.4,2.01,2.02,2.48,2.66,2.53,2.25,2.85,4.17,2.74
BOLIVIA,4.41,4.96,7.15,6.28,6.46,6.1,6.52,6.7,6.77,6.95,6.96,8.2,8.29,8.1,9.12,10.05,10.37,11.75,10.93,12,9.92,12.09,10.8,13.53,16.61,13.75
BRAZIL,,,,,,,,4.26,4.57,3.98,4.05,4.42,4.35,3.49,3.78,4.17,1.14,1.2,1.12,1.19,2.48,1.45,1.48,1.54,1.69,1.97
CHILE,1.96,2.16,2.47,2.71,2.86,2.67,3.06,3.05,3.24,3.45,3.03,3.19,3.27,3.1,2.96,2.97,2.87,3.07,3.61,4.44,3.94,4.09,4,3.66,3.82,4.29
COLOMBIA,1.42,1.64,1.68,1.56,1.66,1.73,1.93,2.18,1.36,1.25,1.28,1.29,1.2,1.06,1.02,1.29,1.42,1.93,2.17,2.25,2.08,2.41,2.82,3.15,3,3
COSTA RICA,1.64,1.1,1.34,1.5,1.77,1.44,1.44,1.61,1.32,1.32,1.49,1.32,1.45,1.04,1.08,1.03,0.9,1.27,1.71,1.74,2.26,1.42,1.42,1.61,1.72,1.82
CUBA,,,,,,,,,6.14,7.27,5.72,6.28,5.8,5.8,5.99,7.19,9.14,8.31,8.14,8.24,6.06,5.75,8.79,7.36,3.05,3.95
ECUADOR,1.84,1.27,1.86,2,2.54,2.27,2.9,2.77,3.74,3.75,3.59,5.88,4.3,4.06,3.81,3.64,3.57,5.15,9.6,8.45,9.25,10.14,10.51,12.18,11.55,9.65
EL SALVADOR,2.07,2.61,4.11,3.14,2.6,3.02,3.17,2.61,2.96,2.45,2.67,4.1,4.3,3.84,2.35,2.56,2.67,2.64,2.82,2.92,3.19,3.1,3.31,3,2.77,2.62
GUATEMALA,1.95,1.73,3.25,3.5,2.68,3.04,3.04,4.43,5.14,5.84,4.15,4.17,4.22,5.06,4.26,4.61,5.26,4.81,4.47,4.07,4.12,3.97,3.3,3,2.94,2.18
HAITI,1.3,0.91,0.48,0.51,0.24,0.68,0.3,1.31,1.97,2.15,2.36,1.84,2.03,3.28,2.8,1.21,0.93,2.75,2.41,2.22,4.27,2.31,3.75,3.69,1.89,1.44
HONDURAS,5.5,4.55,5.55,7.23,4.13,4.58,3.72,3.77,4.88,4.94,5.5,5.7,4.21,4.57,5.01,4.52,3.34,4.11,4.81,5.13,3.74,4.62,4.61,5.23,5.19,4.74
MEXICO,2,1.74,1.87,1.49,1.92,1.62,1.66,1.7,1.47,1.36,1.48,1.42,1.96,1.72,2.14,2.43,2.62,2.91,3.47,2.59,2.63,2.68,2.48,3.14,2.9,3.3
NICARAGUA,,1.66,2.85,3.23,4.31,5.3,4.89,4.64,4.53,8.15,7.88,5.78,4.97,6.41,7.35,7.12,5.35,5.19,4.24,3.9,3.87,3.5,3.74,3.84,4.04,4.51
PANAMA,0.36,4.23,1.37,2.33,1.84,1.61,2.1,2.08,3.72,3.18,2.25,2.56,2.56,2.96,3.03,2.35,2.39,3.8,5.27,5.76,6.84,7.31,7.4,8.51,6.83,6.25
PARAGUAY,0.92,2.28,2.14,1.91,2.36,3.4,2.75,3.92,2.86,4.59,3.91,2.73,3.57,3.12,3.46,3.51,3.49,3.11,2.45,4.03,3.3,3.77,4.67,3.77,3.65,4.12
PERU,1.74,1.96,3.2,3.67,4.4,4.18,3.72,3.74,3.46,3.48,2.91,2.32,2.05,1.99,1.88,1.95,2.06,2.26,2.52,3.97,4.54,4.31,4.41,4.72,4.84,4.87
REP. DOMINICANA,4.36,3.88,4.77,5.72,5.99,4.66,4.7,3.19,3.17,3.8,2.8,3.48,3.83,2.47,2.78,3.6,3.06,3.88,4.87,3.46,3.55,3.09,5.59,3.26,2.69,2.81
URUGUAY,1.68,1.45,1.49,1.96,2.4,2.02,1.64,1.77,2.13,2.48,1.78,1.73,1.36,1.25,1.43,1.3,1.41,1.55,1.83,1.57,1.67,1.47,1.45,1.41,1.39,1.23
VENEZUELA,2.76,2.9,2.98,2.86,2.45,2.88,2.18,3.12,3.97,2.98,3.3,4.39,5.05,5.49,5.05,5.79,6.69,5.79,5.73,5.4,2.85,6.46,4.77,5.53,6.14,
