"","country","Ticker","ID","year","blpi_tot_q","blpi_level","blpi_tot_miss","blpi_miss_pct","pf_tot_q","pf_level","pf_tot_miss","pf_miss_pct","rs_tot_q","rs_level","rs_tot_miss","rs_miss_pct","os_tot_q","os_level","os_tot_miss","os_miss_pct","idea_tot_q","idea_level","idea_tot_miss","blpi_pct","pf_pct","rs_pct","os_pct","idea_miss_pct","idea_pct","CoC","idea_pct_diff","CoC_diff","wb_region","wb_income","un_region_name","un_sub_region_name","un_intermediate._region_name","un_dev_devping","iso3c"
"1","Andorra","AND",78,1996,16,0,0,0,5,0,1,0.17,4,0,1,0.2,7,0,1,0.13,29,0,3,0,0,0,0,0.09,0,1.3595,NA,"","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"2","Andorra","AND",78,1997,16,0,0,0,5,0,1,0.17,4,0,1,0.2,7,0,1,0.13,29,0,3,0,0,0,0,0.09,0,NA,0,"","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"3","Andorra","AND",78,1998,16,0,0,0,5,0,1,0.17,4,0,1,0.2,7,0,1,0.13,29,0,3,0,0,0,0,0.09,0,1.3801,0,"0.0206","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"4","Andorra","AND",78,1999,16,0,0,0,5,0,1,0.17,4,0,1,0.2,7,0,1,0.13,29,0,3,0,0,0,0,0.09,0,NA,0,"","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"5","Andorra","AND",78,2000,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.3849,0.2414,"0.0047","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"6","Andorra","AND",78,2001,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,NA,0,"","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"7","Andorra","AND",78,2002,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.2993,0,"-0.0855","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"8","Andorra","AND",78,2003,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.3165,0,"0.0172","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"9","Andorra","AND",78,2004,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.1018,0,"-0.2147","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"10","Andorra","AND",78,2005,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.2722,0,"0.1704","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"11","Andorra","AND",78,2006,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.277,0,"0.0048","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"12","Andorra","AND",78,2007,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.3008,0,"0.0239","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"13","Andorra","AND",78,2008,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.3206,0,"0.0198","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"14","Andorra","AND",78,2009,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.3451,0,"0.0245","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"15","Andorra","AND",78,2010,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.333,0,"-0.0122","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"16","Andorra","AND",78,2011,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.3073,0,"-0.0256","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"17","Andorra","AND",78,2012,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.3033,0,"-0.0040","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
"18","Andorra","AND",78,2013,16,6,0,0,5,1,1,0.17,4,0,1,0.2,7,0,1,0.13,29,7,3,0.38,0.2,0,0,0.09,0.24,1.2958,0,"-0.0075","Europe & Central Asia","High income","Europe","Southern Europe","Southern Europe","Developed","AND"
