;iso3c;year;country.IDEA;Ticker;ID;blpi_tot_q;blpi_level;blpi_tot_miss;blpi_miss_pct;pf_tot_q;pf_level;pf_tot_miss;pf_miss_pct;rs_tot_q;rs_level;rs_tot_miss;rs_miss_pct;os_tot_q;os_level;os_tot_miss;os_miss_pct;idea_tot_q;idea_level;idea_tot_miss;blpi_pct;pf_pct;rs_pct;os_pct;idea_miss_pct;idea_pct;CoC;idea_pct_diff;CoC_diff;wb_region;wb_income;un_region_name;un_sub_region_name;un_intermediate._region_name;un_dev_devping;iso2c;country.wb;gini;lifeexpectancy;GDP;natres;ruralpop;tertiaryschool;region;capital;longitude;latitude;income;lending;country.fotp;FOTP;cname;fh_status;fh_fotpc;dr_sg;dr_eg;hf_trade;sgi_ecgf;fi_index;fi_index_cl;hf_business;hf_efiscore;hf_financ;hf_fiscal;country;wefji;country.cepal;CepalGastos;
1;ARG;2006;Argentina;ARG;79;16;0;0;0;5;0;1;0.17;4;0;1;0.2;7;0;1;0.13;29;0;3;0;0;0;0;0.09;0;-0.3726;0;0.0566;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;48.26;74.84990244;2.33582E+11;5.886096027;9.734;66.83110046;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;45;Argentina;1;16;49.30462646;45.87259674;67.4;NA;6.11;6.090007009;62.9;53.4;30;71.5;Argentina;2.199652975;ARGENTINA;2.4;10
2;ARG;2007;Argentina;ARG;79;16;0;0;0;5;0;1;0.17;4;0;1;0.2;7;0;1;0.13;29;0;3;0;0;0;0;0.09;0;-0.3746;0;-0.002;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;47.37;75.00904878;2.88833E+11;4.892849001;9.555;66.35090637;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;49;Argentina;1;15;49.07970428;44.53264236;61.4;NA;6.22;6.199647069;63.9;54;40;70.7;Argentina;2.173863543;ARGENTINA;2.01;10
3;ARG;2008;Argentina;ARG;79;16;8;0;0;5;2;1;0.17;4;1;1;0.2;7;5;1;0.13;29;16;3;0.5;0.4;0.25;0.71;0.09;0.55;-0.4738;0.5517;-0.0992;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;46.27;75.16626829;3.63137E+11;5.028892449;9.378;68.14135742;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;47;Argentina;1;15;52.34151459;41.02697372;69.6;NA;6.01;5.990334226;63.7;54.2;40;70.5;Argentina;2.211150152;ARGENTINA;2.02;10
4;ARG;2009;Argentina;ARG;79;16;8;0;0;5;2;1;0.17;4;1;1;0.2;7;5;1;0.13;29;16;3;0.5;0.4;0.25;0.71;0.09;0.55;-0.5029;0;-0.029;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;45.27;75.32456098;3.3449E+11;2.864463849;9.205;70.53328705;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;49;Argentina;1;15;52.32194901;39.17131805;70;NA;5.97;5.950465113;62.1;52.3;40;70.3;Argentina;2.409345555;ARGENTINA;2.48;10
5;ARG;2010;Argentina;ARG;79;16;8;0;0;5;2;1;0.17;4;1;1;0.2;7;5;1;0.13;29;16;3;0.5;0.4;0.25;0.71;0.09;0.55;-0.4126;0;0.0902;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;44.5;75.48497561;4.25916E+11;3.121310698;9.034;73.93920135;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;49;Argentina;1;16;52.39871216;38.23744202;69.5;NA;5.74;5.721217713;62.1;51.2;30;69.5;Argentina;2.562682542;ARGENTINA;2.66;10
6;ARG;2011;Argentina;ARG;79;16;8;0;0;5;2;1;0.17;4;1;1;0.2;7;5;1;0.13;29;16;3;0.5;0.4;0.25;0.71;0.09;0.55;-0.4021;0;0.0106;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;43.57;75.64904878;5.332E+11;3.674169146;8.867;77.45388794;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;51;Argentina;1;16;52.56053162;35.56711578;69.5;NA;5.67;5.651446765;62.4;51.7;30;68.7;Argentina;2.579641579;ARGENTINA;2.53;10
7;ARG;2012;Argentina;ARG;79;16;8;0;0;5;2;1;0.17;4;1;1;0.2;7;5;1;0.13;29;16;3;0.5;0.4;0.25;0.71;0.09;0.55;-0.4918;0;-0.0897;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;42.49;75.8162439;5.48935E+11;3.456836196;8.705;78.9728775;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;50;Argentina;1;16;52.55347824;34.82290649;67.6;NA;5.15;5.133148296;61;48;30;65.5;Argentina;2.274042405;ARGENTINA;2.25;10
8;ARG;2013;Argentina;ARG;79;16;8;0;0;5;2;1;0.17;4;1;1;0.2;7;5;1;0.13;29;16;3;0.5;0.4;0.25;0.71;0.09;0.55;-0.4628;0;0.029;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;42.28;75.98609756;5.54155E+11;2.965580361;8.548;79.98670197;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;52;Argentina;1;16;52.41547775;34.48707962;67.6;NA;5.01;4.993606401;60.1;46.7;30;64.3;Argentina;2.376334898;ARGENTINA;2.85;10
9;ARG;2014;Argentina;ARG;79;16;8;0;0;5;2;1;0.17;4;1;1;0.2;7;5;1;0.13;29;16;3;0.5;0.4;0.25;0.71;0.09;0.55;-0.5807;0;-0.118;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;42.67;76.15860976;5.29726E+11;2.93114685;8.396;NA;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;51;Argentina;1;16;NA;NA;68.9;NA;4.81;4.794260836;53.9;44.6;30;63.5;Argentina;2.29284509;ARGENTINA;4.17;10
10;ARG;2015;Argentina;ARG;79;16;8;0;0;5;2;1;0.17;4;1;1;0.2;7;5;1;0.13;29;16;3;0.5;0.4;0.25;0.71;0.09;0.55;-0.5869;0;-0.0061;Latin America & Caribbean;Upper middle income;Americas;Latin America and the Caribbean;South America;Developing;AR;Argentina;NA;NA;5.83169E+11;1.186458437;8.249;NA;Latin America & Caribbean (all income levels);Buenos Aires;-58.4173;-34.6118;Upper middle income;IBRD;Argentina;51;Argentina;1;16;NA;NA;68.8;NA;NA;NA;52.8;44.1;30;66.8;Argentina;2.438000054;ARGENTINA;2.74;10
11;BOL;2006;Bolivia;BOL;115;12;4;4;0.25;5;0;1;0.17;5;0;0;0;8;2;0;0;27;6;5;0.33;0;0;0.25;0.16;0.22;-0.397;0;0.3635;Latin America & Caribbean;Lower middle income;Americas;Latin America and the Caribbean;South America;Developing;BO;Bolivia;56.87;64.11495122;11451869165;16.24261883;35.348;NA;Latin America & Caribbean (all income levels);La Paz;-66.1936;-13.9908;Lower middle income;Blend;Bolivia;33;Bolivia;2;11;32.49121857;61.03617859;74.4;NA;6.43;6.401693344;60.9;57.8;70;90.4;Bolivia;2.373288623;BOLIVIA;10.37;10
