;iso3c;year;country.IDEA;Ticker;ID;blpi_tot_q;blpi_level;blpi_tot_miss;blpi_miss_pct;pf_tot_q;pf_level;pf_tot_miss;pf_miss_pct;rs_tot_q;rs_level;rs_tot_miss;rs_miss_pct;os_tot_q;os_level;os_tot_miss;os_miss_pct;idea_tot_q;idea_level;idea_tot_miss;blpi_pct;pf_pct;rs_pct;os_pct;idea_miss_pct;idea_pct;CoC;idea_pct_diff;CoC_diff;wb_region;wb_income;un_region_name;un_sub_region_name;un_intermediate._region_name;un_dev_devping;iso2c;country.wb;gini;lifeexpectancy;GDP;natres;ruralpop;tertiaryschool;region;capital;longitude;latitude;income;lending;country.fotp;FOTP;cname;fh_status;fh_fotpc;dr_sg;dr_eg;hf_trade;sgi_ecgf;fi_index;fi_index_cl;hf_business;hf_efiscore;hf_financ;hf_fiscal;country;wefji;
1;AGO;2006;Angola;AGO;28;16;0;0;0;5;2;1;0.17;5;1;0;0;8;1;0;0;31;4;1;0;0.4;0.2;0.13;0.03;0.13;-1.1833;0;0.1452;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;49.00704878;41789478661;54.17313696;63.058;2.69178009;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;65;Angola;3;21;18.44968414;70.87952423;68;NA;4.43;NA;26.8;43.5;50;84.9;Angola;NA;134
2;AGO;2007;Angola;AGO;28;16;0;0;0;5;2;1;0.17;5;1;0;0;8;1;0;0;31;4;1;0;0.4;0.2;0.13;0.03;0.13;-1.2939;0;-0.1106;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;49.43573171;60448921272;51.31256943;62.278;NA;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;62;Angola;3;21;19.51231194;71.26419067;73;NA;4.58;NA;35.3;44.7;40;85;Angola;NA;134
3;AGO;2008;Angola;AGO;28;16;0;0;0;5;2;1;0.17;5;1;0;0;8;1;0;0;31;4;1;0;0.4;0.2;0.13;0.03;0.13;-1.2814;0;0.0125;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;42.72;49.84739024;84178032716;58.05773248;61.491;NA;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;63;Angola;3;21;20.11184883;65.8431778;73;NA;4.43;NA;36.7;46.9;40;85.2;Angola;NA;134
4;AGO;2009;Angola;AGO;28;16;0;0;0;5;2;1;0.17;5;1;0;0;8;1;0;0;31;4;1;0;0.4;0.2;0.13;0.03;0.13;-1.4184;0;-0.1369;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;50.25102439;75492384801;28.14918027;60.701;NA;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;61;Angola;3;21;20.47769928;61.34228134;72;NA;5.19;NA;43.6;47;40;85.2;Angola;NA;134
5;AGO;2010;Angola;AGO;28;16;0;0;0;5;2;1;0.17;5;1;0;0;8;1;0;0;31;4;1;0;0.4;0.2;0.13;0.03;0.13;-1.3194;0;0.099;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;50.65417073;82470913121;39.04265065;59.903;NA;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;62;Angola;3;21;21.24695969;64.43192291;70.4;NA;5.26;NA;43.4;48.4;40;85.1;Angola;2.953741;134
6;AGO;2011;Angola;AGO;28;16;5;0;0;5;3;1;0.17;5;2;0;0;8;6;0;0;31;16;1;0.31;0.6;0.4;0.75;0.03;0.52;-1.3373;0.3871;-0.0179;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;51.05931707;1.04E+11;44.52156336;59.1;6.946090221;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;64;Angola;3;21;21.70905113;63.97220612;70.2;NA;5.13;NA;41.4;46.2;40;84.5;Angola;2.4179383;134
7;AGO;2012;Angola;AGO;28;16;5;0;0;5;3;1;0.17;5;2;0;0;8;6;0;0;31;16;1;0.31;0.6;0.4;0.75;0.03;0.52;-1.2928;0;0.0445;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;51.464;1.15E+11;41.56620803;58.301;NA;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;67;Angola;3;21;22.52785873;59.83321762;65.2;NA;5.32;NA;45.5;46.7;40;84.1;Angola;NA;134
8;AGO;2013;Angola;AGO;28;16;5;0;0;5;3;1;0.17;5;2;0;0;8;6;0;0;31;16;1;0.31;0.6;0.4;0.75;0.03;0.52;-1.3274;0;-0.0346;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;51.86617073;1.25E+11;34.9084258;57.51;9.923569679;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;68;Angola;3;21;22.48958397;55.5933342;70.2;NA;5.21;NA;43.1;47.3;40;82.6;Angola;2.441176;134
9;AGO;2014;Angola;AGO;28;16;5;0;0;5;3;1;0.17;5;2;0;0;8;6;0;0;31;16;1;0.31;0.6;0.4;0.75;0.03;0.52;-1.4526;0;-0.1252;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;52.26687805;1.27E+11;27.54448338;56.726;NA;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;69;Angola;3;21;NA;NA;70.1;NA;5.08;NA;47.5;47.7;40;87.7;Angola;2.105877498;134
10;AGO;2015;Angola;AGO;28;16;5;0;0;5;3;1;0.17;5;2;0;0;8;6;0;0;31;16;1;0.31;0.6;0.4;0.75;0.03;0.52;-1.3969;0;0.0557;Sub-Saharan Africa;Upper middle income;Africa;Sub-Saharan Africa;Middle Africa;Developing;AO;Angola;NA;NA;1.03E+11;11.26596926;55.95;NA;Sub-Saharan Africa (all income levels);Luanda;13.242;-8.81155;Lower middle income;IDA;Angola;70;Angola;3;21;NA;NA;70.2;NA;NA;NA;47.4;47.9;40;84.5;Angola;NA;134
